"time","wallTime","source2.y","source1.y","adder.y"
0.5,0.000225419,0,0,0
0.5035,0.84451,0.482494,0.482494,0.964901
0.507,0.848511,0.485557,0.485557,0.971026
0.5105,0.852134,0.488614,0.488614,0.97714
0.514,0.855593,0.491664,0.491664,0.983242
0.5175,0.858812,0.494709,0.494709,0.989331
0.521,0.8619,0.497748,0.497748,0.995409
0.5245,0.865005,0.50078,0.50078,1.00147
0.528,0.868038,0.503807,0.503807,1.00753
0.5315,0.871094,0.506827,0.506827,1.01357
0.535,0.874119,0.509841,0.509841,1.0196
0.5385,0.876972,0.512849,0.512849,1.02561
0.542,0.879883,0.51585,0.51585,1.03162
0.5455,0.882825,0.518846,0.518846,1.03761
0.549,0.885705,0.521834,0.521834,1.04358
0.5525,0.888458,0.524817,0.524817,1.04955
0.556,0.891246,0.527793,0.527793,1.0555
0.5595,0.894046,0.530763,0.530763,1.06144
0.563,0.896509,0.533726,0.533726,1.06737
0.5665,0.898998,0.536682,0.536682,1.07328
0.57,0.901497,0.539632,0.539632,1.07918
0.5735,0.903999,0.542575,0.542575,1.08507
0.577,0.906516,0.545512,0.545512,1.09094
0.5805,0.909013,0.548442,0.548442,1.0968
0.584,0.911593,0.551365,0.551365,1.10265
0.5875,0.914104,0.554282,0.554282,1.10848
0.591,0.916606,0.557192,0.557192,1.1143
0.5945,0.919204,0.560095,0.560095,1.12011
0.598,0.921757,0.562991,0.562991,1.1259
0.6015,0.924422,0.56588,0.56588,1.13168
0.605,0.927098,0.568762,0.568762,1.13744
0.6085,0.929779,0.571637,0.571637,1.14319
0.612,0.93247,0.574506,0.574506,1.14893
0.6155,0.935244,0.577367,0.577367,1.15465
0.619,0.937994,0.580221,0.580221,1.16036
0.6225,0.94067,0.583068,0.583068,1.16605
0.626,0.943326,0.585908,0.585908,1.17173
0.6295,0.94603,0.588741,0.588741,1.1774
0.633,0.948718,0.591566,0.591566,1.18305
0.6365,0.951378,0.594384,0.594384,1.18869
0.64,0.954084,0.597195,0.597195,1.19431
0.6435,0.956772,0.599999,0.599999,1.19992
0.647,0.959476,0.602795,0.602795,1.20551
0.6505,0.962164,0.605584,0.605584,1.21109
0.654,0.964861,0.608366,0.608366,1.21665
0.6575,0.967563,0.61114,0.61114,1.2222
0.661,0.970456,0.613907,0.613907,1.22773
