"time","fmi1.out","fmi2.out"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.005,0,0
0.0051,0.00139879,0
0.0052,0.00279757,0
0.0053,0.00419636,0
0.0054,0.00559515,0
0.0055,0.00699394,0
0.0056,0.00839272,0
0.0057,0.00979151,0
