"time","adder.y","source1.y","source2.y"
0.5054,0.968227,0.484157,0.484157
0.5055,0.968402,0.484245,0.484245
0.5056,0.968577,0.484332,0.484332
0.5057,0.968752,0.48442,0.48442
0.5058,0.968927,0.484507,0.484507
0.5059,0.969102,0.484595,0.484595
0.506,0.969277,0.484682,0.484682
0.5061,0.969452,0.48477,0.48477
0.5062,0.969627,0.484857,0.484857
0.5063,0.969802,0.484945,0.484945
0.5064,0.969977,0.485032,0.485032
0.5065,0.970152,0.48512,0.48512
0.5066,0.970327,0.485207,0.485207
0.5067,0.970502,0.485295,0.485295
0.5068,0.970677,0.485382,0.485382
0.5069,0.970851,0.485469,0.485469
0.507,0.971026,0.485557,0.485557
0.5071,0.971201,0.485644,0.485644
0.5072,0.971376,0.485732,0.485732
0.5073,0.971551,0.485819,0.485819
0.5074,0.971726,0.485906,0.485906
0.5075,0.9719,0.485994,0.485994
0.5076,0.972075,0.486081,0.486081
0.5077,0.97225,0.486169,0.486169
0.5078,0.972425,0.486256,0.486256
0.5079,0.972599,0.486343,0.486343
0.508,0.972774,0.486431,0.486431
0.5081,0.972949,0.486518,0.486518
0.5082,0.973124,0.486606,0.486606
0.5083,0.973298,0.486693,0.486693
0.5084,0.973473,0.48678,0.48678
0.5085,0.973648,0.486868,0.486868
0.5086,0.973823,0.486955,0.486955
0.5087,0.973997,0.487042,0.487042
0.5088,0.974172,0.48713,0.48713
0.5089,0.974347,0.487217,0.487217
0.509,0.974521,0.487304,0.487304
0.5091,0.974696,0.487392,0.487392
0.5092,0.97487,0.487479,0.487479
0.5093,0.975045,0.487566,0.487566
0.5094,0.97522,0.487654,0.487654
0.5095,0.975394,0.487741,0.487741
0.5096,0.975569,0.487828,0.487828
0.5097,0.975744,0.487915,0.487915
0.5098,0.975918,0.488003,0.488003
0.5099,0.976093,0.48809,0.48809
0.51,0.976267,0.488177,0.488177
0.5101,0.976442,0.488265,0.488265
0.5102,0.976616,0.488352,0.488352
0.5103,0.976791,0.488439,0.488439
0.5104,0.976965,0.488526,0.488526
0.5105,0.97714,0.488614,0.488614
0.5106,0.977314,0.488701,0.488701
0.5107,0.977489,0.488788,0.488788
0.5108,0.977663,0.488875,0.488875
0.5109,0.977838,0.488963,0.488963
0.511,0.978012,0.48905,0.48905
0.5111,0.978187,0.489137,0.489137
0.5112,0.978361,0.489224,0.489224
0.5113,0.978536,0.489311,0.489311
0.5114,0.97871,0.489399,0.489399
0.5115,0.978884,0.489486,0.489486
0.5116,0.979059,0.489573,0.489573
0.5117,0.979233,0.48966,0.48966
0.5118,0.979408,0.489747,0.489747
0.5119,0.979582,0.489835,0.489835
0.512,0.979756,0.489922,0.489922
0.5121,0.979931,0.490009,0.490009
0.5122,0.980105,0.490096,0.490096
0.5123,0.980279,0.490183,0.490183
0.5124,0.980454,0.49027,0.49027
0.5125,0.980628,0.490358,0.490358
0.5126,0.980802,0.490445,0.490445
0.5127,0.980977,0.490532,0.490532
0.5128,0.981151,0.490619,0.490619
0.5129,0.981325,0.490706,0.490706
0.513,0.981499,0.490793,0.490793
0.5131,0.981674,0.49088,0.49088
