"time","wallTime","wc2.P.R[cG][cG](1) [m]","wc2.P.R[cG][cG](2) [m]","wc2.P.R[cG][cG](3) [m]","wc2.P.phi[cG](1) [rad]","wc2.P.phi[cG](2) [rad]","wc2.P.phi[cG](3) [rad]","wc2.P.A(1,1) [-]","wc2.P.A(1,2) [-]","wc2.P.A(1,3) [-]","wc2.P.A(2,1) [-]","wc2.P.A(2,2) [-]","wc2.P.A(2,3) [-]","wc2.P.A(3,1) [-]","wc2.P.A(3,2) [-]","wc2.P.A(3,3) [-]","wc2.P.vR[cG][cG,cG](1) [m/s]","wc2.P.vR[cG][cG,cG](2) [m/s]","wc2.P.vR[cG][cG,cG](3) [m/s]","wc2.P.Omega[cG][cG](1) [rad/s]","wc2.P.Omega[cG][cG](2) [rad/s]","wc2.P.Omega[cG][cG](3) [rad/s]","wc2.P.F_tie[cG](1) [N]","wc2.P.F_tie[cG](2) [N]","wc2.P.F_tie[cG](3) [N]","wc2.P.M_tie[cG][cG](1) [Nm]","wc2.P.M_tie[cG][cG](2) [Nm]","wc2.P.M_tie[cG][cG](3) [Nm]","wc1.P.R[cG][cG](1) [m]","wc1.P.R[cG][cG](2) [m]","wc1.P.R[cG][cG](3) [m]","wc1.P.phi[cG](1) [rad]","wc1.P.phi[cG](2) [rad]","wc1.P.phi[cG](3) [rad]","wc1.P.A(1,1) [-]","wc1.P.A(1,2) [-]","wc1.P.A(1,3) [-]","wc1.P.A(2,1) [-]","wc1.P.A(2,2) [-]","wc1.P.A(2,3) [-]","wc1.P.A(3,1) [-]","wc1.P.A(3,2) [-]","wc1.P.A(3,3) [-]","wc1.P.vR[cG][cG,cG](1) [m/s]","wc1.P.vR[cG][cG,cG](2) [m/s]","wc1.P.vR[cG][cG,cG](3) [m/s]","wc1.P.Omega[cG][cG](1) [rad/s]","wc1.P.Omega[cG][cG](2) [rad/s]","wc1.P.Omega[cG][cG](3) [rad/s]","wc1.P.F_tie[cG](1) [N]","wc1.P.F_tie[cG](2) [N]","wc1.P.F_tie[cG](3) [N]","wc1.P.M_tie[cG][cG](1) [Nm]","wc1.P.M_tie[cG][cG](2) [Nm]","wc1.P.M_tie[cG][cG](3) [Nm]"
0.00098,1.80461,0.5,0,1.32854e-06,0,-9.67125e-06,0,1,0,9.67125e-06,0,1,0,-9.67125e-06,0,1,-0.000272211,0,0.00323286,0,-0.0150808,0,19.9873,0,9.39506,0,5.04952,0,0.5,0,1.50552e-06,0,1.57079,0,3.01105e-06,0,-1,0,1,0,1,0,3.01105e-06,-1.00342e-08,-0,0.00333247,0,-0.00666494,0,-20.1681,-0,-15.9852,0,-4.97717,0
0.00108,1.80796,0.5,0,1.67504e-06,0,-1.11698e-05,0,1,0,1.11698e-05,0,1,0,-1.11698e-05,0,1,-0.000228496,0,0.00372527,0,-0.014832,0,21.4544,0,9.81382,0,5.52276,0,0.5,0,1.86159e-06,0,1.57079,0,3.72318e-06,0,-1,0,1,0,1,0,3.72318e-06,-1.42122e-08,-0,0.00381722,0,-0.00763444,0,-21.7451,-0,-16.8101,0,-5.46715,0
0.00118,1.81055,0.5,0,2.0718e-06,0,-1.26311e-05,0,1,0,1.26311e-05,0,1,0,-1.26311e-05,0,1,-0.000176914,0,0.00423912,0,-0.0143322,0,22.5733,0,10.2061,0,5.88839,0,0.5,0,2.26707e-06,0,1.57079,0,4.53414e-06,0,-1,0,1,0,1,0,4.53414e-06,-1.95843e-08,-0,0.00431929,0,-0.00863858,0,-22.9313,-0,-17.5025,0,-5.84857,0
0.00128,1.81308,0.5,0,2.52086e-06,0,-1.40328e-05,0,1,0,1.40328e-05,0,1,0,-1.40328e-05,0,1,-0.000121515,0,0.00477113,0,-0.0136405,0,23.3197,0,10.4774,0,6.13402,0,0.5,0,2.72318e-06,0,1.57079,0,5.44635e-06,0,-1,0,1,0,1,0,5.44635e-06,-2.6302e-08,-0,0.00482928,0,-0.00965856,0,-23.7119,-0,-17.984,0,-6.10731,0
0.00138,1.81556,0.5,0,3.0237e-06,0,-1.5359e-05,0,1,0,1.5359e-05,0,1,0,-1.5359e-05,0,1,-6.4468e-05,0,0.00531397,0,-0.0128283,0,23.6781,0,10.5829,0,6.25257,0,0.5,0,3.23052e-06,0,1.57079,0,6.46103e-06,0,-1,0,1,0,1,0,6.46103e-06,-3.45267e-08,-0,0.00534384,0,-0.0106877,0,-24.0874,-0,-18.2166,0,-6.2347,0
0.00148,1.81805,0.5,0,3.581e-06,0,-1.66012e-05,0,1,0,1.66012e-05,0,1,0,-1.66012e-05,0,1,-7.03748e-06,0,0.00585902,0,-0.0119728,0,23.6451,0,10.5284,0,6.24226,0,0.5,0,3.78943e-06,0,1.57079,0,7.57886e-06,0,-1,0,1,0,1,0,7.57886e-06,-4.44144e-08,-0,0.0058603,0,-0.0117206,0,-24.0594,-0,-18.2083,0,-6.2282,0
0.00158,1.82051,0.5,0,4.19261e-06,0,-1.77588e-05,0,1,0,1.77588e-05,0,1,0,-1.77588e-05,0,1,4.936e-05,0,0.00639861,0,-0.0111509,0,23.2288,0,10.3427,0,6.10686,0,0.5,0,4.39991e-06,0,1.57079,0,8.79982e-06,0,-1,0,1,0,1,0,8.79982e-06,-5.60898e-08,-0,0.00637397,0,-0.0127479,0,-23.6377,-0,-17.9797,0,-6.09179,0
0.00168,1.82293,0.5,0,4.85766e-06,0,-1.88387e-05,0,1,0,1.88387e-05,0,1,0,-1.88387e-05,0,1,0.000102715,0,0.00692642,0,-0.0104335,0,22.4543,0,10.047,0,5.85576,0,0.5,0,5.06138e-06,0,1.57079,0,1.01228e-05,0,-1,0,1,0,1,0,1.01228e-05,-6.96323e-08,-0,0.00687878,0,-0.0137576,0,-22.8436,-0,-17.5523,0,-5.8353,0
0.00178,1.82525,0.5,0,5.57472e-06,0,-1.98543e-05,0,1,0,1.98543e-05,0,1,0,-1.98543e-05,0,1,0.0001506,0,0.00743706,0,-0.00988351,0,21.364,0,9.65497,0,5.50331,0,0.5,0,5.77269e-06,0,1.57078,0,1.15454e-05,0,-1,0,1,0,1,0,1.15454e-05,-8.50788e-08,-0,0.00736908,0,-0.0147382,0,-21.7168,-0,-16.9477,0,-5.47363,0
0.00188,1.82758,0.5,0,6.34185e-06,0,-2.0825e-05,0,1,0,2.0825e-05,0,1,0,-2.0825e-05,0,1,0.000190675,0,0.00792585,0,-0.0095538,0,20.0149,0,9.18136,0,5.06796,0,0.5,0,6.53217e-06,0,1.57078,0,1.30643e-05,0,-1,0,1,0,1,0,1.30643e-05,-1.02432e-07,-0,0.00784057,0,-0.0156811,0,-20.3146,-0,-16.1938,0,-5.02573,0
