"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0,2.9061e-05,0,0,0,0,0,0
0,4.0868e-05,0,0,0,0,0,0
0,4.9555e-05,0,0,0,0,0,0
0.0005,1.62276,0,0,0,0,0,0
0.0005,1.62301,0,0,0,0,0,0
0.0005,1.62377,0,0,0,0,0,0
0.001,1.62458,0,0,0,0,0,0
0.0015,1.62541,0,0,0,0,0,0
0.002,1.66934,0,0,0,0,0,0
0.0025,1.67017,0,0,0,0,0,0
0.003,1.67135,0,0,0,0,0,0
0.0035,1.67201,0,0,0,0,0,0
0.004,1.67261,0,0,0,0,0,0
0.0045,1.67342,0,0,0,0,0,0
0.005,1.67425,0,0,0,0,0,0
0.0055,1.6751,0,0,0,0,0,0
0.006,1.67518,0,0,0,0,0,0
0.0065,1.67551,0,0,0,0,0,0
0.007,1.67598,0,0,0,0,0,0
0.0075,1.67652,0,0,0,0,0,0
0.008,1.67723,0,0,0,0,0,0
0.0085,1.67758,0,0,0,0,0,0
0.009,1.67821,0,0,0,0,0,0
0.0095,1.67874,0,0,0,0,0,0
0.01,1.67963,0,0,0,0,0,0
0.0105,1.67998,0,0,0,0,0,0
0.011,1.68052,0,0,0,0,0,0
0.0115,1.6813,0,0,0,0,0,0
0.012,1.68174,0,0,0,0,0,0
0.0125,1.68224,0,0,0,0,0,0
0.013,1.68275,0,0,0,0,0,0
0.0135,1.68341,0,0,0,0,0,0
0.014,1.68374,0,0,0,0,0,0
0.0145,1.68469,0,0,0,0,0,0
0.015,1.68512,0,0,0,0,0,0
0.0155,1.68579,0,0,0,0,0,0
0.016,1.68639,0,0,0,0,0,0
0.0165,1.68687,0,0,0,0,0,0
0.017,1.68744,0,0,0,0,0,0
0.0175,1.68799,0,0,0,0,0,0
0.018,1.68849,0,0,0,0,0,0
0.0185,1.689,0,0,0,0,0,0
0.019,1.68983,0,0,0,0,0,0
0.0195,1.69044,0,0,0,0,0,0
0.02,1.69096,0,0,0,0,0,0
0.0205,1.69149,0,0,0,0,0,0
0.021,1.69197,0,0,0,0,0,0
0.0215,1.69236,0,0,0,0,0,0
0.022,1.69277,0,0,0,0,0,0
0.0225,1.69325,0,0,0,0,0,0
0.023,1.69361,0,0,0,0,0,0
0.0235,1.694,0,0,0,0,0,0
0.024,1.69449,0,0,0,0,0,0
0.0245,1.69514,0,0,0,0,0,0
0.025,1.69554,0,0,0,0,0,0
0.0255,1.69603,0,0,0,0,0,0
0.026,1.69646,0,0,0,0,0,0
0.0265,1.69681,0,0,0,0,0,0
0.027,1.69712,0,0,0,0,0,0
0.0275,1.69746,0,0,0,0,0,0
