"time","fmi1.P.R[cG][cG](1) [m]","fmi1.P.R[cG][cG](2) [m]","fmi1.P.R[cG][cG](3) [m]","fmi1.P.phi[cG](1) [rad]","fmi1.P.phi[cG](2) [rad]","fmi1.P.phi[cG](3) [rad]","fmi1.P.A(1,1) [-]","fmi1.P.A(1,2) [-]","fmi1.P.A(1,3) [-]","fmi1.P.A(2,1) [-]","fmi1.P.A(2,2) [-]","fmi1.P.A(2,3) [-]","fmi1.P.A(3,1) [-]","fmi1.P.A(3,2) [-]","fmi1.P.A(3,3) [-]","fmi1.P.vR[cG][cG,cG](1) [m/s]","fmi1.P.vR[cG][cG,cG](2) [m/s]","fmi1.P.vR[cG][cG,cG](3) [m/s]","fmi1.P.Omega[cG][cG](1) [rad/s]","fmi1.P.Omega[cG][cG](2) [rad/s]","fmi1.P.Omega[cG][cG](3) [rad/s]","fmi1.P.F_tie[cG](1) [N]","fmi1.P.F_tie[cG](2) [N]","fmi1.P.F_tie[cG](3) [N]","fmi1.P.M_tie[cG][cG](1) [Nm]","fmi1.P.M_tie[cG][cG](2) [Nm]","fmi1.P.M_tie[cG][cG](3) [Nm]","fmi2.P.R[cG][cG](1) [m]","fmi2.P.R[cG][cG](2) [m]","fmi2.P.R[cG][cG](3) [m]","fmi2.P.phi[cG](1) [rad]","fmi2.P.phi[cG](2) [rad]","fmi2.P.phi[cG](3) [rad]","fmi2.P.A(1,1) [-]","fmi2.P.A(1,2) [-]","fmi2.P.A(1,3) [-]","fmi2.P.A(2,1) [-]","fmi2.P.A(2,2) [-]","fmi2.P.A(2,3) [-]","fmi2.P.A(3,1) [-]","fmi2.P.A(3,2) [-]","fmi2.P.A(3,3) [-]","fmi2.P.vR[cG][cG,cG](1) [m/s]","fmi2.P.vR[cG][cG,cG](2) [m/s]","fmi2.P.vR[cG][cG,cG](3) [m/s]","fmi2.P.Omega[cG][cG](1) [rad/s]","fmi2.P.Omega[cG][cG](2) [rad/s]","fmi2.P.Omega[cG][cG](3) [rad/s]","fmi2.P.F_tie[cG](1) [N]","fmi2.P.F_tie[cG](2) [N]","fmi2.P.F_tie[cG](3) [N]","fmi2.P.M_tie[cG][cG](1) [Nm]","fmi2.P.M_tie[cG][cG](2) [Nm]","fmi2.P.M_tie[cG][cG](3) [Nm]"
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0005,-9.26551e-08,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000276523,-5.12426e-11,0,0.000553047,0,0,-3.55271e-15,0,0,0,0,0,-1.22859e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00490437,8.84563e-10,0,0.0048417,0,0,-5.68434e-14,1.35525e-20,0,0,0,0
0.0006,-1.2268e-07,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000283748,-7.1356e-11,0,0.000567497,0,0,0,0,0,0,0,0,-1.9641e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00588446,6.11317e-09,0,0.00778009,0,0,0,1.0842e-19,0,0,0,0
0.0007,-1.52705e-07,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000290974,-9.14694e-11,0,0.000581947,0,0,-3.55271e-15,-3.38813e-21,0,0,0,0,-2.69961e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00686455,1.13418e-08,0,0.0107185,0,0,0,0,0,0,0,0
0.0008,-1.8273e-07,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000298199,-1.11583e-10,0,0.000596397,0,0,-3.55271e-15,-1.69407e-21,0,0,0,0,-3.43512e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00784464,1.65704e-08,0,0.0136569,0,0,0,0,0,0,0,0
0.0009,-2.12755e-07,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000305424,-1.31696e-10,0,0.000610847,0,0,3.55271e-15,-1.69407e-21,0,0,0,0,-4.17062e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00882473,2.1799e-08,0,0.0165953,0,0,0,0,0,0,0,0
0.001,-2.4278e-07,0.5,0,0,0,0,1.8531e-07,0,0,1.8531e-07,0,0,1.8531e-07,0,0,-0.000312649,-1.5181e-10,0,0.000625297,0,0,-3.55271e-15,-1.69407e-21,0,0,0,0,-4.90613e-06,0.5,0,0,0,0,7.92801e-07,0,0,7.92801e-07,0,0,7.92801e-07,0,0,-0.00980482,2.70276e-08,0,0.0195337,0,0,-2.27374e-13,0,0,0,0,0
0.0011,-4.85604e-07,0.5,0,0,0,0,4.8556e-07,0,0,4.8556e-07,0,0,4.8556e-07,0,0,-0.00110954,-2.62563e-09,0,0.00221908,0,0,-12.1452,0.000268109,0,0,0,0,-6.13154e-06,0.5,0,0,0,0,6.4809e-06,0,0,6.4809e-06,0,0,6.4809e-06,0,0,-0.0107835,5.73095e-08,0,0.0240663,0,0,288.429,-0.00356976,0,0,0,0
0.0012,-7.28427e-07,0.5,0,0,0,0,4.8556e-07,0,0,4.8556e-07,0,0,4.8556e-07,0,0,-0.00190643,-5.09944e-09,0,0.00381286,0,0,-24.2904,0.000536218,0,0,0,0,-7.35695e-06,0.5,0,0,0,0,6.4809e-06,0,0,6.4809e-06,0,0,6.4809e-06,0,0,-0.0117621,8.75913e-08,0,0.028599,0,0,576.859,-0.00713953,0,0,0,0
0.0013,-9.71251e-07,0.5,0,0,0,0,4.8556e-07,0,0,4.8556e-07,0,0,4.8556e-07,0,0,-0.00270332,-7.57326e-09,0,0.00540665,0,0,-36.4356,0.000804327,0,0,0,0,-8.58235e-06,0.5,0,0,0,0,6.4809e-06,0,0,6.4809e-06,0,0,6.4809e-06,0,0,-0.0127407,1.17873e-07,0,0.0331317,0,0,865.288,-0.0107093,0,0,0,0
0.0014,-1.21407e-06,0.5,0,0,0,0,4.8556e-07,0,0,4.8556e-07,0,0,4.8556e-07,0,0,-0.00350021,-1.00471e-08,0,0.00700043,0,0,-48.5808,0.00107244,0,0,0,0,-9.80776e-06,0.5,0,0,0,0,6.4809e-06,0,0,6.4809e-06,0,0,6.4809e-06,0,0,-0.0137194,1.48155e-07,0,0.0376644,0,0,1153.72,-0.0142791,0,0,0,0
0.0015,-1.4569e-06,0.5,0,0,0,0,4.8556e-07,0,0,4.8556e-07,0,0,4.8556e-07,0,0,-0.00429711,-1.25209e-08,0,0.00859421,0,0,-60.726,0.00134055,0,0,0,0,-1.10332e-05,0.5,0,0,0,0,6.4809e-06,0,0,6.4809e-06,0,0,6.4809e-06,0,0,-0.014698,1.78437e-07,0,0.042197,0,0,1442.15,-0.0178488,0,0,0,0
0.0016,-1.98993e-06,0.5,0,0,0,0,2.9138e-06,0,0,2.9138e-06,0,0,2.9138e-06,0,0,-0.00477869,-2.10721e-08,0,0.00955738,0,0,-81.174,0.00256166,0,0,0,0,-1.27472e-05,0.5,0,0,0,0,2.12564e-05,0,0,2.12564e-05,0,0,2.12564e-05,0,0,-0.0156743,2.84663e-07,0,0.0489198,0,0,1539.28,-0.0284728,0,0,0,0
0.0017,-2.52296e-06,0.5,0,0,0,0,2.9138e-06,0,0,2.9138e-06,0,0,2.9138e-06,0,0,-0.00526027,-2.96232e-08,0,0.0105205,0,0,-101.622,0.00378278,0,0,0,0,-1.44612e-05,0.5,0,0,0,0,2.12564e-05,0,0,2.12564e-05,0,0,2.12564e-05,0,0,-0.0166507,3.90889e-07,0,0.0556425,0,0,1636.4,-0.0390968,0,0,0,0
0.0018,-3.05598e-06,0.5,0,0,0,0,2.9138e-06,0,0,2.9138e-06,0,0,2.9138e-06,0,0,-0.00574185,-3.81744e-08,0,0.0114837,0,0,-122.07,0.0050039,0,0,0,0,-1.61752e-05,0.5,0,0,0,0,2.12564e-05,0,0,2.12564e-05,0,0,2.12564e-05,0,0,-0.017627,4.97114e-07,0,0.0623653,0,0,1733.53,-0.0497208,0,0,0,0
0.0019,-3.58901e-06,0.5,0,0,0,0,2.9138e-06,0,0,2.9138e-06,0,0,2.9138e-06,0,0,-0.00622343,-4.67256e-08,0,0.0124469,0,0,-142.518,0.00622502,0,0,0,0,-1.78892e-05,0.5,0,0,0,0,2.12564e-05,0,0,2.12564e-05,0,0,2.12564e-05,0,0,-0.0186034,6.0334e-07,0,0.0690881,0,0,1830.66,-0.0603448,0,0,0,0
