"time","wallTime","wc2.out","wc1.out"
0,1.84e-05,0,0
0,2.24e-05,0,0
0,2.57e-05,0,0
0,2.87e-05,0,0
0,3.16e-05,0,0
0,3.44e-05,0,0
0,3.72e-05,0,0
0,3.99e-05,0,0
0,4.27e-05,0,0
0,4.56e-05,0,0
0.005,0.943847,0,0
0.005,0.943858,0,0
0.005,0.943868,0,0
0.005,0.943899,0,0
0.005,0.943954,0,0
0.005,0.944032,0,5.16111e-16
0.006,0.944037,0,0.0850051
0.007,0.944044,0,0.17001
0.008,0.944049,0,0.255015
0.009,0.944055,0,0.34002
0.01,0.944066,0,0.425025
0.011,0.944071,0,0.493434
0.012,0.944076,0,0.561844
0.013,0.94408,0,0.630253
0.014,0.944086,0,0.698662
0.015,0.944113,0,0.767071
0.016,0.944119,0,0.807629
0.017,0.944125,0,0.848188
0.018,0.94413,0,0.888747
0.019,0.944136,0,0.929305
0.02,0.944154,0,0.969864
0.021,0.944161,0,0.980024
0.022,0.944167,0,0.990184
0.023,0.944172,0,1.00034
0.024,0.944178,0,1.0105
0.025,0.944196,3.53905e-15,1.02066
0.026,0.9442,0.17001,1.00674
0.027,0.944203,0.34002,0.992821
0.028,0.944207,0.510031,0.978899
0.029,0.944211,0.680041,0.964978
0.03,0.944228,0.850051,0.951057
0.031,0.944232,0.986869,0.925183
0.032,0.944236,1.12369,0.89931
0.033,0.94424,1.26051,0.873437
0.034,0.944243,1.39732,0.847564
0.035,0.944267,1.53414,0.821691
0.036,0.944271,1.61526,0.796747
0.037,0.944274,1.69638,0.771803
0.038,0.944278,1.77749,0.746859
0.039,0.944282,1.85861,0.721914
0.04,0.944299,1.93973,0.69697
0.041,0.944302,1.96005,0.681478
0.042,0.944306,1.98037,0.665986
0.043,0.94431,2.00069,0.650494
0.044,0.944314,2.02101,0.635002
0.045,0.944422,2.04133,0.61951
0.046,0.944427,2.01348,0.614444
0.047,0.94443,1.98564,0.609377
0.048,0.944434,1.9578,0.604311
0.049,0.944438,1.92996,0.599244
0.05,0.944828,1.90211,0.594178
0.051,0.944833,1.85037,0.592899
0.052,0.944836,1.79862,0.591621
0.053,0.94484,1.74687,0.590342
0.054,0.944843,1.69513,0.589064
0.055,0.945217,1.64338,0.587785
0.056,0.945221,1.59349,0.57912
0.057,0.945225,1.54361,0.570455
0.058,0.945228,1.49372,0.56179
0.059,0.945232,1.44383,0.553125
0.06,0.945584,1.39394,0.54446
0.061,0.945591,1.36296,0.517698
0.062,0.945595,1.33197,0.490936
0.063,0.945598,1.30099,0.464174
0.064,0.945601,1.27,0.437412
0.065,0.945823,1.23902,0.41065
0.066,0.945827,1.22889,0.360517
0.067,0.945831,1.21875,0.310384
0.068,0.945835,1.20862,0.26025
0.069,0.945838,1.19849,0.210117
0.07,0.946211,1.18836,0.159984
0.071,0.946216,1.1858,0.0896292
0.072,0.94622,1.18324,0.0192746
0.073,0.946223,1.18068,-0.0510799
0.074,0.946227,1.17813,-0.121434
0.075,0.946636,1.17557,-0.191789
0.076,0.946641,1.15824,-0.270988
0.077,0.946644,1.14091,-0.350187
0.078,0.946648,1.12358,-0.429387
0.079,0.946651,1.10625,-0.508586
0.08,0.947057,1.08892,-0.587785
